id_del_proceso,entidad,objeto,valor_base,ciudad,estado,coincidio_por,url,fecha_deteccion
"CO1.REQ.10838151","ESE HOSPITAL PRESBITERO EMIGDIO PALACIO","MANO DE OBRA PARA EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS MOTOBOMBAS SUMERGIBLES INSTALADAS EN EL TANQUE DE ATRAPAGRASAS DE LA E.S.E. HOSPITAL PRESBÍTERO EMIGDIO PALACIO  INCLUYENDO EL SUMINISTRO E INSTALACIÓN DE DOS (2) MOTOBOMBAS SUMERGIBLES PARA AGUAS NEGRAS  CON EL FIN DE GARANTIZAR EL ADECUADO FUNCIONAMIENTO DEL SISTEMA DE MANEJO DE AGUAS RESIDUALES DE LA INSTITUCIÓN  EN CUMPLIMIENTO DEL PLAN DE MANTENIMIENTO HOSPITALARIO DE LA VIGENCIA 2026","5100000","No Definido","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10692443","2026-08-14T02:08:35.610Z"
"CO1.REQ.10840523","ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO","SUMINISTRO DE PROGRAMA PARA EL CONTROL DE CALIDAD EXTERNA EN QUÍMICA CLÍNICA; HEMATOLOGÍA E INFECCIOSAS PARA EL LABORATORIO DE LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO.","2687637","San Luis De Gaceno","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10694926","2026-08-14T02:08:35.610Z"
"CO1.REQ.10838689","HOSPITAL SAN JUAN BOSCO","CONTRATO DE ADQUISICION DE UN EQUIPO DIGITALIZADOR DE RAYOS X  BAJO LA MODALIDAD DE ARRENDAMIENTO  CON DESTINO A LA ESE HOSPITAL SAN JUAN BOSCO DE BOSCONIA-CESAR","24000000","Bosconia","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10693352","2026-08-14T02:08:35.610Z"
"CO1.REQ.10832687","DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA - DIR TER NOROCCIDENTE - (DANE NOROCCIDENTE)","3148502726_A_02_APARATOS_MÉDICOS_2026_Adquisición de termohigrómetros y luxómetros para espacios de almacenamiento documental las sedes del DANE Territorial Noroccidente","10560000","No Definido","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10695611","2026-08-14T02:08:35.610Z"
"CO1.REQ.10840445","ALCALDIA DE PASTO","El contratista se compromete con el Municipio de Pasto a suministrar UN SONÓMETRO DIGITAL INTEGRADOR CLASE 1 / TIPO I  CON EL FIN DE FORTALECER LAS LABORES DE CONTROL  VIGILANCIA Y SEGUIMIENTO A LAS EMISIONES DE RUIDO Y RUIDO AMBIENTAL EN EL MUNICIPIO DE PASTO  EN CUMPLIMIENTO DE LA NORMATIVIDAD AMBIENTAL VIGENTE Y LAS FUNCIONES DE POLICÍA DE LA SUBSECRETARÍA DE CONTROL. SGMBYS025  de conformidad con las especificaciones técnicas ....","26717636","Pasto","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10699438","2026-08-14T02:08:35.610Z"
"CO1.REQ.10837572","EMPRESAS PUBLICAS DE MEDELLIN E.S.P.","sensor de proximidad tipo inductivo namur 7.5-30vccm30x1.5","18165600","Medellín","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10692010","2026-08-14T02:08:35.610Z"
"CO1.REQ.10841184","E.S.E. HOSPITAL DEPARTAMENTAL SAN VICENTE DE PAUL","Suministro de material médico quirúrgico representado en tiras reactivas de glucosa nipro premier para toma de pruebas de glucometria necesarios para el correcto funcionamiento de los equipos de glucometria  que posee la E.S.E. Hospital Departamental San Vicente de Paúl de Garzón Huila  en calidad de comodato. De acuerdo a los requerimientos de la entidad contratante","31274100","Garzón","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10695783","2026-08-14T02:08:35.610Z"
"CO1.REQ.10838354","UNIVERSIDAD NACIONAL DE COLOMBIA","Adquirir reactivo de laboratorio para el proyecto de investigación -Biología del cianuro en las hojas de yuca: conocer para desintoxicar.","1693132","No Definido","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10692672","2026-08-14T02:08:35.610Z"
"CO1.REQ.10840219","INDUSTRIA LICORERA DEL CAUCA","CONTRATAR EL SERVICIO DE MANTENIMIENTO CORRECTIVO PARA EL CROMATÓGRAFO DE GASES GC7890B INCLUYENDO LOS REPUESTOS NECESARIOS PARA EL CORRECTO FUNCIONAMIENTO DEL EQUIPO","14161000","Popayán","Seleccionado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10695016","2026-08-14T02:08:35.610Z"
"CO1.REQ.10830241","HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ ESE","Material Reactivo Banco de Sangre","32716100","No Definido","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10684460","2026-08-14T02:08:35.610Z"
